record_id	tier	accession_codes	disease_field	disease_field_source	disease_field_is_free_text	disease_group	healthy_cohort
MMC2-02187	2	DRA006094	sample_title	reviewer_note	yes	Gastrointestinal	
MMC2-02228	2	SRR6872880; SRR6872883; SRR6872887; SRR6872896	sample_name	reviewer_note	yes	Infectious	
MMC2-02229	2	SRA759603	host	reviewer_note		Metabolic	
MMC2-02241	2	PRJNA378267	AUD	reviewer_note		Respiratory	
MMC2-02279	2	PRJNA298762	sample_description	reviewer_note	yes	Gastrointestinal	
MMC2-02283	2	PHS000265.V3.P1; SRA054875	sample_description	reviewer_note	yes	Gastrointestinal	yes
MMC2-02316	2	PRJNA200702	sample_alias	reviewer_note	yes	Respiratory	
MMC2-02326	2	SRA057249	disease	reviewer_note		Respiratory	
MMC2-02350	2	SRA049741	Disease	disease_key		Liver	
MMC2-02360	2	SRA059451	sample_title	reviewer_note	yes	Cardiovascular	
MMC2-02368	2	SRP009299	diseased area of diseased individual	reviewer_note		Oral	
MMC2-02458	2	PRJNA1027311	host_disease	disease_key		Gastrointestinal	
MMC2-02526	2	DRA015691	sample_title	reviewer_note	yes	Gastrointestinal	
MMC2-02533	2	PRJNA246158; PRJNA615630; PRJNA865783	RAS_like_opacities	reviewer_note		Immune Complications	
MMC2-02638	2	PRJEB3251	gastrointest_disord	reviewer_note		Gastrointestinal	
MMC2-02656	2	PRJEB6337; PRJNA375935	env_feature	reviewer_note		Gastrointestinal	yes
MMC2-02692	2	PRJEB22303	sample_alias	reviewer_note	yes	Gastrointestinal	
MMC2-02710	2	PRJEB29078	sample_description	reviewer_note	yes	Metabolic	
MMC2-02722	2	PRJEB38352	disease	disease_key		Gastrointestinal	
MMC2-02724	2	PRJEB38909	has HIV biomarkers	disease_key		STI	
MMC2-02753	2	PRJDB11117	sample_title	reviewer_note	yes	Respiratory	
MMC2-02832	2	PRJEB14948; PRJNA50563	sample_title	reviewer_note	yes	Infectious	
MMC2-02844	2	PRJEB18478	lung/pulmory disorder	disease_key		Respiratory	
MMC2-02879	2	PRJEB23057; PRJNA745169	host_disease	disease_key		Respiratory	
MMC2-02883	2	PRJEB23313	sample_alias	reviewer_note	yes	Gastrointestinal	
MMC2-02896	2	PRJEB25060	sample_title	reviewer_note	yes	Healthy	yes
MMC2-02907	2	GSE114398; PRJEB25915	host_phenotype	disease_key		Respiratory	
MMC2-02929	2	PRJEB27564	Parkinson:	disease_key		Neurodegenerative	
MMC2-02930	2	PRJEB27623	present	reviewer_note		Gastrointestinal	
MMC2-02935	2	PRJEB28159	burden group for campylobacter	disease_key		Gastrointestinal	
MMC2-02940	2	PRJEB28384	sample_alias	reviewer_note	yes	Cardiovascular	
MMC2-02974	2	PRJEB32077	sample_description	reviewer_note	yes	Infectious	
MMC2-02975	2	PRJEB32265	sample_description	reviewer_note	yes	Immune Complications	
MMC2-03009	2	PRJEB35283	sample_description	reviewer_note	yes	Infectious	
MMC2-03012	2	PRJEB35666	sample_description	reviewer_note	yes	Metabolic	
MMC2-03029	2	PRJEB36332	sample_title	reviewer_note	yes	Autoimmune	
MMC2-03049	2	PRJEB38221	sample_description	reviewer_note	yes	Respiratory	
MMC2-03063	2	PRJEB39311	sample_alias	reviewer_note	yes	Infectious	
MMC2-03065	2	PRJEB39484	sample_title	reviewer_note	yes	Metabolic	
MMC2-03066	2	PRJEB39500	sample_description	reviewer_note	yes	Metabolic	
MMC2-03074	2	PRJEB40590	gastrointestinal tract disorder	disease_key		Gastrointestinal	
MMC2-03125	2	PRJEB4555	disease	disease_key		Respiratory	
MMC2-03131	2	PRJEB46105	sample_alias	reviewer_note	yes	Skin	
MMC2-03236	2	PRJEB57770	sample_title	reviewer_note	yes	Infectious	
MMC2-03256	2	PRJEB61078	sample_description	reviewer_note	yes	Respiratory	
MMC2-03259	2	PRJEB62005	sample_description	reviewer_note	yes	Infectious	
MMC2-03263	2	PRJEB62780	host_status	disease_key		Respiratory	
MMC2-03291	2	PRJEB67373	sample_description; sample_title	reviewer_note	yes	Renal	
MMC2-03312	2	PRJEB72371	sample_description	reviewer_note	yes	Gastrointestinal	
MMC2-03325	2	PRJEB76903	host disease status	disease_key		Oral	
MMC2-03330	2	PRJEB77861	sample_title	reviewer_note	yes	Cardiovascular	
MMC2-03332	2	PRJEB78556	sample_description	reviewer_note	yes	Immune Complications	
MMC2-03378	2	PRJEB98644	sample_title	reviewer_note	yes	Gastrointestinal	
MMC2-03380	2	PRJNA100021; PRJNA996776	sample_alias	reviewer_note	yes	Healthy	yes
MMC2-03419	2	PRJNA1015704	sample_description	reviewer_note	yes	Respiratory	
MMC2-03436	2	PRJNA1024934	sample_description	reviewer_note	yes	Reproductive	
MMC2-03466	2	PRJNA1043868	sample_alias	reviewer_note	yes	Endocrine	
MMC2-03470	2	PRJNA1045644	host_disease	disease_key		Respiratory	
MMC2-03484	2	PRJNA1049117	sample_alias	reviewer_note	yes	Oral	
MMC2-03496	2	PRJNA1053658	host_disease	disease_key		Gastrointestinal	
MMC2-03505	2	PRJNA1058141	sample_description	reviewer_note	yes	Autoimmune	
MMC2-03519	2	PRJNA1064480	sample_description	reviewer_note	yes	Skin	
MMC2-03531	2	PRJNA1068750	sample_title	reviewer_note	yes	Cancer	
MMC2-03548	2	PRJNA1078389	host_disease	disease_key		Respiratory	
MMC2-03549	2	PRJNA1078442	isolate	reviewer_note		Infectious	
MMC2-03556	2	PRJNA1080886	sample_title	reviewer_note	yes	Oral	
MMC2-03566	2	PRJNA1083899	sample_title	reviewer_note	yes	Respiratory	
MMC2-03576	2	PRJNA1088546	sample_id	reviewer_note	yes	Infectious	
MMC2-03619	2	PRJNA1104421	experiment_title	reviewer_note	yes	Liver	
MMC2-03624	2	PRJNA1109848	sample_cog_status	disease_key	yes	Neurodegenerative	
MMC2-03626	2	PRJNA1112760	is_healthy	disease_key		Respiratory	
MMC2-03631	2	PRJNA1114418	sample_alias	reviewer_note	yes	Gastrointestinal	
MMC2-03646	2	PRJNA1126338	sample_alias	reviewer_note	yes	Metabolic	
MMC2-03648	2	PRJNA1127788	sample_alias	reviewer_note	yes	Reproductive	
MMC2-03663	2	PRJNA1134172	sample_title	reviewer_note	yes	Respiratory	
MMC2-03670	2	PRJNA1137103	host_disease	disease_key		Reproductive	
MMC2-03682	2	PRJNA1144689	experiment_title	reviewer_note	yes	Healthy	yes
MMC2-03693	2	PRJNA1152299	sample_alias	reviewer_note	yes	Liver	
MMC2-03699	2	PRJNA1159478	sample_title	reviewer_note	yes	Gastrointestinal	
MMC2-03707	2	PRJNA1162807	host_disease	disease_key		Respiratory	
MMC2-03709	2	PRJNA1163353	sample_alias	reviewer_note	yes	Infectious	
MMC2-03717	2	PRJNA1167913; PRJNA450025; PRJNA673102	sample_description; HIV_Non_NAFLD	reviewer_note	yes	Metabolic	
MMC2-03720	2	PRJNA1170177	sample_title; JL_filarial_lymphedema_Patient4; sample_title.	reviewer_note	yes	Infectious	
MMC2-03737	2	PRJNA1180074	sample_title	reviewer_note	yes	Metabolic	
MMC2-03766	2	PRJNA1194543	Infection status	disease_key		Liver	
MMC2-03782	2	PRJNA1202695	library_name	reviewer_note	yes	Metabolic	
MMC2-03783	2	PRJNA1203401	sample_title	reviewer_note	yes	Metabolic	
MMC2-03786	2	GSE285935; PRJNA1207020	sample_title	reviewer_note	yes	Autoimmune	
MMC2-03793	2	PRJNA1208993	Disord	reviewer_note		Liver	
MMC2-03807	2	PRJNA1216257	sample_alias	reviewer_note	yes	Infectious	
MMC2-03819	2	PRJNA1225217	library_name; run_alias	reviewer_note	yes	STI	
MMC2-03837	2	PRJNA1242794	experiment_title	reviewer_note	yes	Gastrointestinal	yes
MMC2-03850	2	PRJNA1252380	sample_alias	reviewer_note	yes	Gastrointestinal	
MMC2-03860	2	PRJNA1262893	experiment_title	reviewer_note	yes	Metabolic	
MMC2-03881	2	PRJNA1277165	sample_alias	reviewer_note	yes	Infectious	
MMC2-03883	2	PRJNA1279610	host_phenotype	disease_key		Mental Health	
MMC2-03915	2	PRJNA2282203; PRJNA282013	host_disease	disease_key		Gastrointestinal	
MMC2-03918	2	PRJNA234437	host_disease	disease_key		Respiratory	
MMC2-03919	2	PRJNA234437; PRJNA285808	host_disease	disease_key		Infectious	
