accession	record_id	tier
PRJNA595787	MMC2-00680	2
PRJNA596209	MMC2-04383	2
PRJNA596902	MMC2-04385	2
PRJNA605031	MMC2-04397	2
PRJNA605805	MMC2-04400	2
PRJNA607849	MMC2-04406	2
PRJNA608440	MMC2-04408	2
PRJNA612439	MMC2-04418	2
PRJNA615630	MMC2-02533	2
PRJNA615630	MMC2-04433	2
PRJNA626062	MMC2-04454	2
PRJNA629055	MMC2-04457	2
PRJNA629344	MMC2-00457	2
PRJNA629344	MMC2-04458	2
PRJNA629382	MMC2-04459	2
PRJNA633161	MMC2-04466	2
PRJNA633959	MMC2-04192	2
PRJNA636012	MMC2-04472	2
PRJNA637490	MMC2-09068	2
PRJNA637782	MMC2-04478	2
PRJNA637878	MMC2-04482	2
PRJNA639330	MMC2-04489	2
PRJNA644520	MMC2-04501	2
PRJNA644666	MMC2-03989	2
PRJNA646010	MMC2-04510	2
PRJNA647685	MMC2-04515	2
PRJNA650259	MMC2-00464	2
PRJNA658160	MMC2-00467	2
PRJNA663629	MMC2-04547	2
PRJNA663631	MMC2-04547	2
PRJNA663926	MMC2-04549	2
PRJNA668516	MMC2-12827	2
PRJNA669650	MMC2-04566	2
PRJNA673102	MMC2-03717	2
PRJNA674451	MMC2-12734	2
PRJNA674841	MMC2-04576	2
PRJNA678695	MMC2-04586	2
PRJNA679275	MMC2-04591	2
PRJNA680860	MMC2-04597	2
PRJNA681631	MMC2-04600	2
PRJNA689961	MMC2-04633	2
PRJNA691455	MMC2-04640	2
PRJNA691964	MMC2-05693	2
PRJNA695425	MMC2-04651	2
PRJNA699976	MMC2-04656	2
PRJNA699990	MMC2-12794	2
PRJNA701870	MMC2-04664	2
PRJNA707099	MMC2-00486	2
PRJNA707350	MMC2-04679	2
PRJNA712952	MMC2-04682	2
PRJNA714459	MMC2-08436	2
PRJNA715601	MMC2-09644	2
PRJNA717644	MMC2-04692	2
PRJNA720904	MMC2-04699	2
PRJNA723466	MMC2-04458	2
PRJNA725075	MMC2-04705	2
PRJNA726205	MMC2-04709	2
PRJNA729425	MMC2-04720	2
PRJNA733573	MMC2-00498	2
PRJNA734525	MMC2-04192	2
PRJNA735699	MMC2-04734	2
PRJNA736583	MMC2-00500	2
PRJNA737039	MMC2-04739	2
PRJNA743150	MMC2-00505	2
PRJNA745169	MMC2-02879	2
PRJNA745947	MMC2-04758	2
PRJNA747877	MMC2-04768	2
